# time, dbzdt (without filter), dbzdt (with filter)
3.179659000000000163e-06,1.638163085979433375e-06,1.631911471390084290e-06
7.651805000000000509e-06,1.279446639534596662e-06,1.426320701327112932e-06
1.312977000000000050e-05,1.020685326670167123e-06,1.107612720460450468e-06
2.006194000000000125e-05,8.160932626345755095e-07,8.693793093948468451e-07
2.900622999999999892e-05,6.481284503716060162e-07,6.813656983051561439e-07
4.040942000000000112e-05,5.109441453485334071e-07,5.318771712171264441e-07
5.483263000000000292e-05,3.994437703773061671e-07,4.126987332594996006e-07
7.272121999999999896e-05,3.104925494953141675e-07,3.189580340654028622e-07
9.508194000000000465e-05,2.388870549405746579e-07,2.442910736231798744e-07
1.229210999999999910e-04,1.817092376849626579e-07,1.851475247668568634e-07
1.581381000000000030e-04,1.358250614958305316e-07,1.379827955333007014e-07
2.033051000000000129e-04,9.928747087272127796e-08,1.006134393016727231e-07
2.599910999999999780e-04,7.128177553189478298e-08,7.208440294264930983e-08
3.314300000000000167e-04,5.008004456850057194e-08,5.055602578767846102e-08
4.218803999999999935e-04,3.432914304360647884e-08,3.460442330380577294e-08
5.351366999999999886e-04,2.302863342749282952e-08,2.318432841751582060e-08
6.781304000000000151e-04,1.504239510752875492e-08,1.512799898732461968e-08
8.584693999999999702e-04,9.574057847182581123e-09,9.619787589273764938e-09
